lane_id,firm_name,state,practice_area,source_type,target_star_slice,lane_status,status_reason,full_text_visible,last_checked_pass,fallback_eligible,notes
canto_legal_md_google_maps_general,"Canto Legal - Immigration Attorneys",MD,immigration,google_maps,general,viable_google_maps,full_text_rows_captured_in_recent_pass,yes,pass35,no,Pass 35 proved this Google Maps lane still surfaces usable full-text low-star and trust evidence even without a visible 2-star band.
nmilc_nm_google_maps_general,New Mexico Immigration Law Center,NM,immigration,google_maps,general,viable_google_maps,full_text_rows_captured_in_recent_pass,yes,pass35,no,Pass 35 yielded both low-star and positive full-text Google Maps rows after quote-chip expansion.
utahcda_ut_google_maps_general,Utah Criminal Defense Attorneys,UT,criminal_defense,google_maps,general,viable_google_maps,full_text_rows_captured_in_recent_pass,yes,pass35,no,Pass 35 produced both a usable one-star row and positive trust row from Google Maps.
joshlee_ok_google_maps_general,Josh Lee & Associates Criminal Defense & DUI Attorneys,OK,criminal_defense,google_maps,general,viable_google_maps,full_text_rows_captured_in_recent_pass,yes,pass35,no,Pass 35 proved this Google Maps lane is still productive for positive harvest even with no visible 2-star body.
newfrontier_az_google_maps_general,New Frontier Immigration Law,AZ,immigration,google_maps,general,viable_google_maps,full_text_rows_captured_in_recent_pass,yes,pass35,no,General Google Maps lane is productive for one-star and positive evidence even though the 2-star lane failed later.
fulton_oh_google_maps_general,Philip J. Fulton Law Office,OH,social_security_disability,google_maps,general,viable_google_maps,full_text_rows_captured_in_recent_pass,yes,pass35,no,General Google Maps lane previously produced low-star and positive evidence before the dedicated 2-star surfacing lane failed.
ericpalacios_nv_google_maps_general,Eric Palacios & Associates Ltd,NV,immigration,google_maps,general,viable_google_maps,full_text_rows_captured_in_recent_pass,yes,pass35,no,General Google Maps lane is still usable for non-2-star harvesting even though the 2-star lane dead-ended.
anchor_va_google_maps_general,"Anchor Legal Group, PLLC",VA,estate_planning,google_maps,general,viable_google_maps,full_text_rows_captured_in_recent_pass,yes,pass35,no,Google Maps lane already surfaced usable two-star and positive probate evidence and should stay harvest-ready.
bailey_or_google_maps_2star,Bailey Immigration,OR,immigration,google_maps,2_star,dead_google_maps,visible_2star_count_but_no_full_text_body,no,pass36,no,Pass 36 documented histogram signal plus Lowest-sort dead end; do not re-prove in the next harvest pass.
fakhoury_mi_google_maps_2star,Fakhoury Global Immigration,MI,immigration,google_maps,2_star,dead_google_maps,visible_2star_count_but_no_full_text_body,no,pass36,no,Pass 36 documented visible 2-star count but no usable body after review-panel attempts.
romero_nm_google_maps_2star,Mary Ann Romero & Associates,NM,immigration,google_maps,2_star,dead_google_maps,visible_2star_count_but_no_full_text_body,no,pass36,no,Pass 36 documented Lowest-sort dead end with no surfaced full-text 2-star body.
randall_nc_google_maps_2star,Randall Law PLLC,NC,criminal_defense,google_maps,2_star,dead_google_maps,visible_2star_count_but_no_full_text_body,no,pass36,no,Pass 36 documented this criminal-defense 2-star lane as a repeat Google Maps surfacing failure.
junglelaw_mo_google_maps_2star,Jungle Law,MO,criminal_defense,google_maps,2_star,dead_google_maps,visible_2star_count_but_no_full_text_body,no,pass36,no,Pass 36 documented this lane as a Google Maps 2-star dead end after Lowest-sort attempts.
cogan_or_google_maps_2star,"Mark C. Cogan, P.C.",OR,criminal_defense,google_maps,2_star,dead_google_maps,visible_2star_count_but_no_full_text_body,no,pass36,no,Pass 36 documented this lane as a Google Maps 2-star surfacing failure with no usable full-text body.
robertwest_nv_google_maps_2star,Immigration Lawyer Robert West,NV,immigration,google_maps,2_star,dead_google_maps,limited_view_after_lowest_sort,no,pass37,no,Pass 37 rechecked this lane and still hit limited-view Google Maps behavior instead of a usable 2-star body.
fulton_oh_google_maps_2star,Philip J. Fulton Law Office,OH,social_security_disability,google_maps,2_star,dead_google_maps,visible_2star_count_but_non_2star_cards_only,no,pass37,no,Pass 37 kept surfacing non-2-star cards after Lowest sort; do not spend another immediate harvest pass here.
manring_oh_google_maps_2star,Manring & Farrell,OH,social_security_disability,google_maps,2_star,dead_google_maps,no_review_tab_limited_view,no,pass37,no,Pass 37 place panel never exposed a usable review tab, so this lane should stay parked.
disabilityhelpers_il_google_maps_2star,Disability Helpers LLC,IL,social_security_disability,google_maps,2_star,dead_google_maps,no_review_tab_limited_view,no,pass37,no,Pass 37 direct place page stayed in limited view with no review tab.
newfrontier_az_google_maps_2star,New Frontier Immigration Law,AZ,immigration,google_maps,2_star,dead_google_maps,visible_2star_count_but_no_full_text_body,no,pass37,no,Pass 37 proved the 2-star lane was dead even though the broader Google Maps lane remains viable.
accessdisability_mo_google_maps_2star,"Access Disability, LLC",MO,social_security_disability,google_maps,2_star,dead_google_maps,no_review_tab_limited_view,no,pass37,no,Pass 37 direct place page stayed in overview/about mode with no usable review tab.
ericpalacios_nv_google_maps_2star,Eric Palacios & Associates Ltd,NV,immigration,google_maps,2_star,dead_google_maps,visible_2star_count_but_no_full_text_body,no,pass37,no,Pass 37 direct histogram and Lowest-sort attempts still never surfaced a usable 2-star body.
velasquez_nv_google_maps_2star,Velasquez Immigration Law Group,NV,immigration,google_maps,2_star,dead_google_maps,quote_chip_mismatch_and_no_full_text_body,no,pass37,no,Pass 37 quote-chip route resolved to a 3-star page and never exposed a usable 2-star body.
gavlin_ny_avvo_2star,Nataliya I. Gavlin,NY,immigration,avvo,2_star,fallback_eligible,full_text_2star_captured_after_earned_fallback,yes,pass36,yes,Use only after the Google Maps 2-star dead-lane threshold is already supported for the pass.
matthewnielson_ut_lawyers_com_2star,Matthew Nielson Disability Law,UT,social_security_disability,lawyers_com,2_star,fallback_eligible,full_text_2star_captured_after_earned_fallback,yes,pass36,yes,Narrow fallback lane already proved source-faithful for disability 2-star harvest.
collins_md_lawyers_com_2star,The Collins Firm,MD,estate_planning,lawyers_com,2_star,fallback_eligible,full_text_2star_captured_after_earned_fallback,yes,pass36,yes,Narrow fallback lane already proved source-faithful for estate-planning 2-star harvest.
stamm_md_lawyers_com_2star,Leonard R. Stamm,MD,criminal_defense,lawyers_com,2_star,fallback_eligible,full_text_2star_captured_after_earned_fallback,yes,pass36,yes,Narrow fallback lane already proved source-faithful for criminal-defense 2-star harvest.
